# i, j, E_i, E_j
2.000000000000000000e+00 4.300000000000000000e+01 -6.082245160856738396e-05 2.160606100594957604e-05
2.000000000000000000e+00 4.400000000000000000e+01 -4.986148071293141157e-05 2.140785856511341346e-05
2.000000000000000000e+00 4.500000000000000000e+01 -4.087165567410144774e-05 2.128459954609584955e-05
2.000000000000000000e+00 4.600000000000000000e+01 -3.045364691435559188e-05 2.112238909429301498e-05
2.000000000000000000e+00 4.700000000000000000e+01 -2.126812818978740543e-05 2.121993210596319568e-05
2.000000000000000000e+00 4.800000000000000000e+01 -1.147956539712878025e-05 2.287513387830721379e-05
2.000000000000000000e+00 4.900000000000000000e+01 -0.000000000000000000e+00 2.449482623697374608e-05
3.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 -3.323308123163743605e-05
3.000000000000000000e+00 1.000000000000000000e+00 -1.086777326540836586e-05 -3.111530292782001110e-05
3.000000000000000000e+00 2.000000000000000000e+00 -1.970785675813749787e-05 -2.885339700389596095e-05
3.000000000000000000e+00 3.000000000000000000e+00 -2.883130073464643003e-05 -2.883103834767125926e-05
3.000000000000000000e+00 4.000000000000000000e+00 -3.794958415439814435e-05 -2.907717255583032153e-05
3.000000000000000000e+00 5.000000000000000000e+00 -4.733792308851227565e-05 -2.940384818298560763e-05
3.000000000000000000e+00 6.000000000000000000e+00 -5.667775527745684127e-05 -2.975145366606362566e-05
3.000000000000000000e+00 7.000000000000000000e+00 -6.638686970945612952e-05 -3.011660460762880854e-05
3.000000000000000000e+00 8.000000000000000000e+00 -7.599383666117457499e-05 -3.044821206262206443e-05
3.000000000000000000e+00 9.000000000000000000e+00 -8.603810471217727528e-05 -3.073898673848618327e-05
3.000000000000000000e+00 1.000000000000000000e+01 -9.588194023856408898e-05 -3.092927165434855357e-05
3.000000000000000000e+00 1.100000000000000000e+01 -1.061895076500403949e-04 -3.099864318062092207e-05
3.000000000000000000e+00 1.200000000000000000e+01 -1.161453807273376572e-04 -3.088067673549679901e-05
3.000000000000000000e+00 1.300000000000000000e+01 -1.265312017170345540e-04 -3.055128624932098528e-05
3.000000000000000000e+00 1.400000000000000000e+01 -1.363473490518241342e-04 -2.994564253383440546e-05
3.000000000000000000e+00 1.500000000000000000e+01 -1.464901869947978625e-04 -2.903612812733900438e-05
3.000000000000000000e+00 1.600000000000000000e+01 -1.557805426165838022e-04 -2.776025614595253052e-05
3.000000000000000000e+00 1.700000000000000000e+01 -1.652210352540027700e-04 -2.610595393389905780e-05
3.000000000000000000e+00 1.800000000000000000e+01 -1.734672062481465839e-04 -2.403536895042733459e-05
3.000000000000000000e+00 1.900000000000000000e+01 -1.816297457954041850e-04 -2.155318963374767147e-05
3.000000000000000000e+00 2.000000000000000000e+01 -1.882364749230988588e-04 -1.865645866795136295e-05
3.000000000000000000e+00 2.100000000000000000e+01 -1.945022032237953653e-04 -1.538865682587252284e-05
3.000000000000000000e+00 2.200000000000000000e+01 -1.988807542400749845e-04 -1.178087302737692525e-05
3.000000000000000000e+00 2.300000000000000000e+01 -2.026982784105257158e-04 -7.904871582029189547e-06
3.000000000000000000e+00 2.400000000000000000e+01 -2.043920512425811595e-04 -3.834091971728821081e-06
3.000000000000000000e+00 2.500000000000000000e+01 -2.053926687569615256e-04 3.387812989190711575e-07
3.000000000000000000e+00 2.600000000000000000e+01 -2.041817358639068120e-04 4.513328484114843310e-06
3.000000000000000000e+00 2.700000000000000000e+01 -2.022769139195010714e-04 8.589146171200721762e-06
3.000000000000000000e+00 2.800000000000000000e+01 -1.982464280825707332e-04 1.247476955832125872e-05
3.000000000000000000e+00 2.900000000000000000e+01 -1.936467691185828771e-04 1.610419826507999280e-05
3.000000000000000000e+00 3.000000000000000000e+01 -1.871575431454760479e-04 1.939805303563106901e-05
3.000000000000000000e+00 3.100000000000000000e+01 -1.803145572920243720e-04 2.232046237841050574e-05
3.000000000000000000e+00 3.200000000000000000e+01 -1.719120960988353001e-04 2.483526145984364577e-05
3.000000000000000000e+00 3.300000000000000000e+01 -1.634073100165023404e-04 2.694519970355716497e-05
3.000000000000000000e+00 3.400000000000000000e+01 -1.537044792393196194e-04 2.863988182791589953e-05
3.000000000000000000e+00 3.500000000000000000e+01 -1.441283333770430257e-04 2.996253634303736100e-05
3.000000000000000000e+00 3.600000000000000000e+01 -1.336924743153851522e-04 3.092744673395075947e-05
3.000000000000000000e+00 3.700000000000000000e+01 -1.235536595149219102e-04 3.159580653252594428e-05
3.000000000000000000e+00 3.800000000000000000e+01 -1.128368598414790656e-04 3.199143023706761050e-05
3.000000000000000000e+00 3.900000000000000000e+01 -1.025151045773692695e-04 3.217968987421918406e-05
3.000000000000000000e+00 4.000000000000000000e+01 -9.183201603157616999e-05 3.218726515185442037e-05
3.000000000000000000e+00 4.100000000000000000e+01 -8.156923970180079834e-05 3.208140105948521662e-05
3.000000000000000000e+00 4.200000000000000000e+01 -7.109722839604868338e-05 3.187773177838426034e-05
3.000000000000000000e+00 4.300000000000000000e+01 -6.101414682997619227e-05 3.163659351495929999e-05
3.000000000000000000e+00 4.400000000000000000e+01 -5.081808424624246269e-05 3.136533940481127164e-05
3.000000000000000000e+00 4.500000000000000000e+01 -4.093606896060211694e-05 3.111193538798600136e-05
3.000000000000000000e+00 4.600000000000000000e+01 -3.099515075461507384e-05 3.085229055437466346e-05
3.000000000000000000e+00 4.700000000000000000e+01 -2.124492492541100598e-05 3.041910100335517298e-05
3.000000000000000000e+00 4.800000000000000000e+01 -1.132195125425067662e-05 3.350661736507772092e-05
3.000000000000000000e+00 4.900000000000000000e+01 -0.000000000000000000e+00 3.691931760937117293e-05
4.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 -4.522457715923926442e-05
4.000000000000000000e+00 1.000000000000000000e+00 -1.060656377609492032e-05 -4.106969504243533810e-05
4.000000000000000000e+00 2.000000000000000000e+00 -1.986971973711383659e-05 -3.733406916488313612e-05
4.000000000000000000e+00 3.000000000000000000e+00 -2.907722465174317802e-05 -3.794959697002180159e-05
4.000000000000000000e+00 4.000000000000000000e+00 -3.837657630861447108e-05 -3.837639074112559218e-05
4.000000000000000000e+00 5.000000000000000000e+00 -4.782637910418059636e-05 -3.884046407512996919e-05
4.000000000000000000e+00 6.000000000000000000e+00 -5.743400912167613104e-05 -3.935387217019266262e-05
4.000000000000000000e+00 7.000000000000000000e+00 -6.724135640035997787e-05 -3.988033784686410941e-05
4.000000000000000000e+00 8.000000000000000000e+00 -7.722736336120155807e-05 -4.038953066842838522e-05
4.000000000000000000e+00 9.000000000000000000e+00 -8.743125404731138281e-05 -4.083140452654273190e-05
4.000000000000000000e+00 1.000000000000000000e+01 -9.779261267484225771e-05 -4.116519960659158033e-05
4.000000000000000000e+00 1.100000000000000000e+01 -1.083377015172120401e-04 -4.132843606470339745e-05
4.000000000000000000e+00 1.200000000000000000e+01 -1.189676118465407052e-04 -4.126372698197222156e-05
4.000000000000000000e+00 1.300000000000000000e+01 -1.296804075148337186e-04 -4.090118768269992771e-05
4.000000000000000000e+00 1.400000000000000000e+01 -1.403266574056336448e-04 -4.018423272535474140e-05
4.000000000000000000e+00 1.500000000000000000e+01 -1.508771492922739632e-04 -3.904241598647495860e-05
4.000000000000000000e+00 1.600000000000000000e+01 -1.611272764701716844e-04 -3.742070319029828498e-05
4.000000000000000000e+00 1.700000000000000000e+01 -1.710173950314133754e-04 -3.526170435039422584e-05
4.000000000000000000e+00 1.800000000000000000e+01 -1.802948157160293966e-04 -3.253896758033316284e-05
4.000000000000000000e+00 1.900000000000000000e+01 -1.888772190497217218e-04 -2.923693548715576010e-05
4.000000000000000000e+00 2.000000000000000000e+01 -1.964823062351478021e-04 -2.536014366923675968e-05
4.000000000000000000e+00 2.100000000000000000e+01 -2.030374508360174857e-04 -2.094549306249423194e-05
4.000000000000000000e+00 2.200000000000000000e+01 -2.082637107768768440e-04 -1.606312686502681022e-05
4.000000000000000000e+00 2.300000000000000000e+01 -2.121304491982782276e-04 -1.079374354419690559e-05
4.000000000000000000e+00 2.400000000000000000e+01 -2.144107989302600583e-04 -5.246630917664937919e-06
4.000000000000000000e+00 2.500000000000000000e+01 -2.151497101636998558e-04 4.441454811357080541e-07
4.000000000000000000e+00 2.600000000000000000e+01 -2.142032565158126555e-04 6.134699243307440569e-06
4.000000000000000000e+00 2.700000000000000000e+01 -2.117148021540662603e-04 1.168731016977237868e-05
4.000000000000000000e+00 2.800000000000000000e+01 -2.076352737108266410e-04 1.697544066526346764e-05
4.000000000000000000e+00 2.900000000000000000e+01 -2.021915965164535855e-04 2.188370435988659917e-05
4.000000000000000000e+00 3.000000000000000000e+01 -1.954135553517793414e-04 2.632806800062314047e-05
4.000000000000000000e+00 3.100000000000000000e+01 -1.875759785665180655e-04 3.024178719138978814e-05
4.000000000000000000e+00 3.200000000000000000e+01 -1.787532192188167929e-04 3.358789202203676374e-05
4.000000000000000000e+00 3.300000000000000000e+01 -1.692250077202484926e-04 3.635877334041661335e-05
4.000000000000000000e+00 3.400000000000000000e+01 -1.590692683656970603e-04 3.857382665564055820e-05
4.000000000000000000e+00 3.500000000000000000e+01 -1.485386252021984497e-04 4.025992883288095165e-05
4.000000000000000000e+00 3.600000000000000000e+01 -1.376917164609831588e-04 4.147424925122399292e-05
4.000000000000000000e+00 3.700000000000000000e+01 -1.267283611145868249e-04 4.227227164619714521e-05
