# i, j, E_i, E_j
2.000000000000000000e+00 5.000000000000000000e+00 -1.203998054593303132e-05 2.831266241699745417e-05
2.000000000000000000e+00 6.000000000000000000e+00 -1.204827260123490378e-05 3.314319746412642799e-05
2.000000000000000000e+00 7.000000000000000000e+00 -1.224034260514110024e-05 3.939540984411973352e-05
2.000000000000000000e+00 8.000000000000000000e+00 -1.224404602243065132e-05 4.423139613208179171e-05
2.000000000000000000e+00 9.000000000000000000e+00 -1.231828034895615339e-05 5.074996978692621757e-05
2.000000000000000000e+00 1.000000000000000000e+01 -1.237707720184507570e-05 5.532729000787986007e-05
2.000000000000000000e+00 1.100000000000000000e+01 -1.223273982588264533e-05 6.201279787221626886e-05
2.000000000000000000e+00 1.200000000000000000e+01 -1.204427938397855291e-05 6.636626672908404524e-05
2.000000000000000000e+00 1.300000000000000000e+01 -1.192506359462177496e-05 7.318570010378004165e-05
2.000000000000000000e+00 1.400000000000000000e+01 -1.162723145663435145e-05 7.719696877465793126e-05
2.000000000000000000e+00 1.500000000000000000e+01 -1.107011479402325973e-05 8.382574267985853456e-05
2.000000000000000000e+00 1.600000000000000000e+01 -1.068935138883394284e-05 8.736232977714540539e-05
2.000000000000000000e+00 1.700000000000000000e+01 -9.922299296058982978e-06 9.369203086676234922e-05
2.000000000000000000e+00 1.800000000000000000e+01 -9.061904428289856346e-06 9.630942920290703644e-05
2.000000000000000000e+00 1.900000000000000000e+01 -8.115980811491106152e-06 1.020520675299151498e-04
2.000000000000000000e+00 2.000000000000000000e+01 -7.077255307531233404e-06 1.037220490936285975e-04
2.000000000000000000e+00 2.100000000000000000e+01 -5.892031274670303151e-06 1.084666013488023523e-04
2.000000000000000000e+00 2.200000000000000000e+01 -4.644283351444973519e-06 1.089320721044675450e-04
2.000000000000000000e+00 2.300000000000000000e+01 -3.200437351485427339e-06 1.125893898256662698e-04
2.000000000000000000e+00 2.400000000000000000e+01 -1.742505212312317670e-06 1.115510190812191383e-04
2.000000000000000000e+00 2.500000000000000000e+01 -2.478832690723840144e-07 1.140082530616470872e-04
2.000000000000000000e+00 2.600000000000000000e+01 1.225347884568824550e-06 1.114961194124755990e-04
2.000000000000000000e+00 2.700000000000000000e+01 2.660687770870168059e-06 1.123533990161612036e-04
2.000000000000000000e+00 2.800000000000000000e+01 4.178673532107297505e-06 1.084437431983714748e-04
2.000000000000000000e+00 2.900000000000000000e+01 5.440359250669579358e-06 1.080194729360763522e-04
2.000000000000000000e+00 3.000000000000000000e+01 6.693314541313254867e-06 1.029193923831294149e-04
2.000000000000000000e+00 3.100000000000000000e+01 7.788399754796783989e-06 1.012360987100089754e-04
2.000000000000000000e+00 3.200000000000000000e+01 8.827121972704901056e-06 9.534156265459409348e-05
2.000000000000000000e+00 3.300000000000000000e+01 9.699713712854255007e-06 9.256838884151940661e-05
2.000000000000000000e+00 3.400000000000000000e+01 1.042337682448172523e-05 8.602094767373408919e-05
2.000000000000000000e+00 3.500000000000000000e+01 1.101533554910465802e-05 8.250282118814072517e-05
2.000000000000000000e+00 3.600000000000000000e+01 1.141534863526090407e-05 7.559747142169717204e-05
2.000000000000000000e+00 3.700000000000000000e+01 1.184586663637004079e-05 7.135602135615116742e-05
